---------- BOTNET FLOWS DETECTED ----------

70.171.205.195:61927 -> 66.154.80.105:7871 (UDP)
66.154.83.138:7871 -> 77.37.6.175:12023 (UDP)
10.0.2.15:1749 -> 173.194.65.106:80 (TCP)
66.154.83.107:7871 -> 82.234.169.39:15782 (UDP)
66.154.87.39:7871 -> 81.184.132.184:14837 (UDP)
68.72.105.13:17956 -> 66.154.80.105:7871 (UDP)
79.182.115.23:13297 -> 66.154.87.58:7871 (UDP)
66.154.83.138:7871 -> 85.141.130.212:22248 (UDP)
66.154.83.107:7871 -> 74.233.133.126:50622 (UDP)
201.17.218.55:8253 -> 66.154.80.125:7871 (UDP)
88.244.255.142:18366 -> 66.154.83.113:7871 (UDP)
193.152.173.161:4661 -> 66.154.87.39:7871 (UDP)
66.154.83.113:7871 -> 87.217.25.45:21395 (UDP)
71.31.51.223:61349 -> 66.154.80.111:7871 (UDP)
66.154.83.80:7871 -> 87.78.88.41:3737 (UDP)
66.154.80.111:7871 -> 194.187.131.1:22308 (UDP)
213.100.136.212:14479 -> 66.154.80.105:7871 (UDP)
66.154.87.41:7871 -> 190.161.105.83:33043 (UDP)
71.79.108.27:15630 -> 66.154.80.105:7871 (UDP)
86.72.140.179:55269 -> 66.154.80.111:7871 (UDP)
66.154.87.57:7871 -> 200.41.234.250:1026 (UDP)
211.133.237.144:15750 -> 66.154.83.138:7871 (UDP)
124.179.65.193:10171 -> 66.154.83.113:7871 (UDP)
66.154.87.61:7871 -> 157.157.74.237:51377 (UDP)
68.75.4.213:55130 -> 66.154.87.41:7871 (UDP)
66.154.83.107:7871 -> 190.51.149.83:16275 (UDP)
190.48.242.161:60099 -> 66.154.83.113:7871 (UDP)
66.154.80.105:7871 -> 89.149.217.155:12025 (UDP)
76.5.198.122:25756 -> 66.154.83.138:7871 (UDP)
66.154.83.138:7871 -> 72.223.110.162:5024 (UDP)
66.154.87.57:7871 -> 99.237.76.135:10792 (UDP)
64.13.113.82:8 -> 69.61.28.70:63028 (TCP)
66.154.80.101:7871 -> 85.96.208.172:16329 (UDP)
117.198.144.234:17264 -> 66.154.87.58:7871 (UDP)
66.154.83.107:7871 -> 71.136.248.254:25859 (UDP)
66.154.83.113:7871 -> 192.24.218.143:25203 (UDP)
75.26.159.114:31074 -> 66.154.83.138:7871 (UDP)
85.17.35.74:17967 -> 66.154.87.61:7871 (UDP)
66.154.83.80:7871 -> 85.104.199.150:22484 (UDP)
193.34.144.45:19271 -> 66.154.83.80:7871 (UDP)
66.154.83.107:7871 -> 92.192.63.34:20837 (UDP)
66.154.83.107:7871 -> 24.243.146.9:60100 (UDP)
62.57.177.221:15906 -> 66.154.83.107:7871 (UDP)
66.154.87.61:7871 -> 217.121.178.66:5191 (UDP)
69.146.225.152:27034 -> 66.154.80.125:7871 (UDP)
66.154.87.57:7871 -> 83.8.245.74:2914 (UDP)
85.141.143.179:1468 -> 66.154.80.105:7871 (UDP)
66.154.83.80:7871 -> 217.235.102.179:16190 (UDP)
66.154.80.105:7871 -> 76.186.255.210:11275 (UDP)
66.154.83.107:7871 -> 190.42.18.107:18717 (UDP)
66.154.87.58:7871 -> 72.23.131.74:14412 (UDP)
66.154.80.101:7871 -> 190.188.3.46:21257 (UDP)
118.0.35.23:21606 -> 66.154.80.125:7871 (UDP)
195.92.0.11:13140 -> 66.154.83.113:7871 (UDP)
84.167.252.115:12345 -> 66.154.87.58:7871 (UDP)
66.154.87.39:7871 -> 168.91.1.131:22204 (UDP)
69.120.164.180:21540 -> 66.154.87.57:7871 (UDP)
66.154.87.41:7871 -> 71.127.173.146:50695 (UDP)
66.154.83.113:7871 -> 82.233.206.130:1027 (UDP)
81.249.60.250:19067 -> 66.154.87.41:7871 (UDP)
218.168.77.130:34831 -> 66.154.87.57:7871 (UDP)
68.83.249.219:55197 -> 66.154.83.138:7871 (UDP)
66.154.83.138:7871 -> 82.137.254.117:12834 (UDP)
70.224.240.57:18594 -> 66.154.80.105:7871 (UDP)
74.224.149.177:55499 -> 66.154.83.107:7871 (UDP)
66.154.83.107:7871 -> 69.151.202.26:13494 (UDP)
66.154.80.101:7871 -> 222.123.221.75:11788 (UDP)
70.197.164.94:21270 -> 66.154.80.111:7871 (UDP)
71.83.40.223:61287 -> 66.154.80.111:7871 (UDP)
61.246.241.140:64034 -> 66.154.80.101:7871 (UDP)
66.154.87.39:7871 -> 192.168.1.10:10640 (UDP)
66.154.80.101:7871 -> 209.227.188.254:46580 (UDP)
66.154.87.39:7871 -> 71.40.215.82:19936 (UDP)
66.154.83.131:63119 -> 24.217.137.235:8 (TCP)
65.40.136.133:13161 -> 66.154.87.57:7871 (UDP)
66.154.80.111:7871 -> 202.83.34.119:8408 (UDP)
66.154.83.113:7871 -> 201.230.219.102:11975 (UDP)
66.154.87.57:7871 -> 72.188.118.137:17034 (UDP)
66.154.87.39:7871 -> 172.130.65.236:9870 (UDP)
210.245.51.120:12683 -> 66.154.87.57:7871 (UDP)
69.61.28.100:7871 -> 72.197.57.183:61497 (UDP)
213.59.68.24:27107 -> 66.154.83.107:7871 (UDP)
66.154.87.61:7871 -> 189.167.34.5:15733 (UDP)
88.233.141.72:4127 -> 66.154.83.138:7871 (UDP)
74.193.155.51:33020 -> 66.154.83.80:7871 (UDP)
66.154.83.107:7871 -> 124.120.39.7:16275 (UDP)
66.154.87.41:7871 -> 189.174.207.218:29140 (UDP)
66.154.87.57:7871 -> 84.104.160.62:17681 (UDP)
220.226.140.29:5002 -> 66.154.87.57:7871 (UDP)
217.133.54.140:7419 -> 66.154.87.41:7871 (UDP)
189.153.58.96:8819 -> 66.154.80.105:7871 (UDP)
66.154.87.39:7871 -> 202.114.128.169:39442 (UDP)
66.154.80.111:7871 -> 24.232.232.70:6911 (UDP)
66.154.83.107:7871 -> 88.171.218.41:24023 (UDP)
66.154.87.57:7871 -> 192.168.0.6:21267 (UDP)
66.154.87.41:7871 -> 219.80.139.223:63519 (UDP)
85.141.134.168:21869 -> 66.154.83.80:7871 (UDP)
66.154.83.80:7871 -> 71.232.135.47:27390 (UDP)
201.69.132.90:11275 -> 66.154.87.39:7871 (UDP)
76.186.255.210:3081 -> 66.154.80.111:7871 (UDP)
66.154.87.58:7871 -> 121.208.115.252:17594 (UDP)
83.103.80.195:60451 -> 66.154.87.41:7871 (UDP)
209.19.111.218:12462 -> 10.0.2.15:14851 (UDP)
66.154.83.150:63851 -> 67.149.59.200:8 (TCP)
66.154.80.105:7871 -> 59.96.30.70:62296 (UDP)
83.213.106.149:18955 -> 66.154.80.105:7871 (UDP)
201.223.67.128:11097 -> 66.154.87.39:7871 (UDP)
69.217.252.174:11275 -> 66.154.80.101:7871 (UDP)
81.82.222.16:2471 -> 66.154.80.101:7871 (UDP)
88.213.30.52:64760 -> 66.154.87.39:7871 (UDP)
70.146.56.191:27918 -> 66.154.83.113:7871 (UDP)
66.154.80.105:7871 -> 211.48.159.49:32511 (UDP)
66.154.87.57:7871 -> 195.161.213.212:26099 (UDP)
79.145.180.238:11869 -> 66.154.87.61:7871 (UDP)
61.252.113.165:24628 -> 66.154.83.80:7871 (UDP)
132.203.167.37:52285 -> 66.154.80.100:7871 (UDP)
62.75.240.173:9470 -> 66.154.80.111:7871 (UDP)
124.114.174.250:60010 -> 66.154.80.125:7871 (UDP)
203.113.56.14:3411 -> 66.154.87.39:7871 (UDP)
66.154.80.111:7871 -> 200.82.118.127:21917 (UDP)
213.112.160.29:30903 -> 66.154.83.107:7871 (UDP)
66.154.83.107:7871 -> 125.24.232.5:22081 (UDP)
71.127.184.247:1357 -> 66.154.87.57:7871 (UDP)
209.161.210.169:10301 -> 66.154.83.80:7871 (UDP)
84.129.191.205:2690 -> 66.154.87.39:7871 (UDP)
66.154.83.138:7871 -> 82.240.196.133:4110 (UDP)
66.154.83.134:63040 -> 64.13.113.82:8 (TCP)
71.250.249.53:48967 -> 66.154.83.84:7871 (UDP)
66.154.80.105:7871 -> 85.106.226.75:16085 (UDP)
91.89.48.92:5102 -> 66.154.87.41:7871 (UDP)
70.241.105.89:2506 -> 66.154.80.105:7871 (UDP)
66.154.83.107:7871 -> 67.209.4.187:8176 (UDP)
66.154.80.111:7871 -> 83.228.173.230:8478 (UDP)
66.154.87.61:7871 -> 192.168.1.33:10112 (UDP)
63.110.48.70:30483 -> 66.154.80.111:7871 (UDP)
89.15.191.13:20005 -> 66.154.83.107:7871 (UDP)
69.27.10.114:34811 -> 66.154.80.111:7871 (UDP)
172.203.239.130:31692 -> 66.154.80.101:7871 (UDP)
76.186.190.150:32687 -> 66.154.83.80:7871 (UDP)
84.245.228.79:1168 -> 66.154.87.57:7871 (UDP)
66.154.87.41:7871 -> 84.44.187.237:7491 (UDP)
66.154.83.138:7871 -> 12.214.54.116:26824 (UDP)
66.154.83.131:63705 -> 24.58.101.166:8 (TCP)
61.9.203.180:60173 -> 66.154.80.111:7871 (UDP)
66.154.83.131:63232 -> 71.224.113.40:8 (TCP)
66.154.80.101:7871 -> 68.254.12.81:27785 (UDP)
66.154.83.138:7871 -> 190.173.125.168:49020 (UDP)
66.154.83.155:63451 -> 69.133.103.15:8 (TCP)
66.154.87.41:7871 -> 68.229.146.254:55037 (UDP)
66.154.80.111:7871 -> 71.218.103.171:31104 (UDP)
66.255.201.10:16401 -> 66.154.87.61:7871 (UDP)
66.154.87.61:7871 -> 82.50.50.68:5919 (UDP)
193.92.70.21:10572 -> 66.154.87.39:7871 (UDP)
91.18.232.8:60936 -> 66.154.87.39:7871 (UDP)
81.23.192.22:8922 -> 66.154.87.57:7871 (UDP)
69.61.28.103:63781 -> 67.149.59.200:8 (TCP)
72.224.165.157:30925 -> 66.154.83.80:7871 (UDP)
195.16.248.87:63986 -> 66.154.87.57:7871 (UDP)
59.96.22.88:10014 -> 66.154.80.119:7871 (UDP)
66.154.80.125:7871 -> 216.224.254.46:16074 (UDP)
66.154.83.138:7871 -> 211.218.227.157:32129 (UDP)
77.128.58.120:2520 -> 66.154.83.107:7871 (UDP)
66.154.80.111:7871 -> 86.121.5.140:24289 (UDP)
24.1.162.36:1511 -> 66.154.83.138:7871 (UDP)
66.227.162.100:55333 -> 66.154.80.111:7871 (UDP)
65.82.85.130:11313 -> 66.154.83.80:7871 (UDP)
84.127.105.237:3852 -> 66.154.83.107:7871 (UDP)
121.247.137.66:10007 -> 66.154.83.80:7871 (UDP)
66.154.80.111:7871 -> 92.80.9.58:19610 (UDP)
66.154.80.101:7871 -> 190.43.23.202:29661 (UDP)
190.40.131.141:29107 -> 66.154.80.105:7871 (UDP)
66.154.83.138:7871 -> 80.243.64.54:16368 (UDP)
68.211.106.111:50270 -> 66.154.80.125:7871 (UDP)
71.7.56.16:64648 -> 66.154.87.41:7871 (UDP)
82.148.67.67:20111 -> 66.154.87.57:7871 (UDP)
91.12.78.193:10527 -> 66.154.87.39:7871 (UDP)
71.225.204.44:11275 -> 66.154.87.57:7871 (UDP)
217.91.36.215:8380 -> 66.154.80.101:7871 (UDP)
66.154.83.107:7871 -> 88.198.36.84:17494 (UDP)
66.154.83.107:7871 -> 218.175.172.26:37567 (UDP)
66.154.87.39:7871 -> 200.25.143.114:19666 (UDP)
66.154.87.57:7871 -> 201.255.58.76:60303 (UDP)
210.98.159.2:56544 -> 66.154.83.107:7871 (UDP)
217.68.185.220:18853 -> 66.154.83.107:7871 (UDP)
24.58.101.166:8 -> 69.61.28.74:63217 (TCP)
72.154.14.71:50980 -> 66.154.87.39:7871 (UDP)
74.46.193.66:60799 -> 66.154.80.101:7871 (UDP)
189.139.45.54:4490 -> 66.154.87.58:7871 (UDP)
66.154.80.101:7871 -> 68.9.162.32:21497 (UDP)
66.154.83.138:7871 -> 75.33.75.29:26777 (UDP)
207.63.198.2:3069 -> 66.154.87.57:7871 (UDP)
66.154.83.138:7871 -> 122.164.174.143:24088 (UDP)
82.2.156.131:13108 -> 66.154.83.107:7871 (UDP)
66.154.87.39:7871 -> 89.211.69.17:52041 (UDP)
66.154.87.57:7871 -> 82.43.115.207:7507 (UDP)
66.154.83.138:7871 -> 85.138.56.103:3188 (UDP)
66.154.87.39:7871 -> 195.116.188.2:8901 (UDP)
88.68.116.200:8579 -> 66.154.80.125:7871 (UDP)
198.142.60.56:17824 -> 66.154.83.107:7871 (UDP)
66.154.87.57:7871 -> 91.13.24.211:61005 (UDP)
220.124.225.170:7847 -> 66.154.80.111:7871 (UDP)
66.154.83.138:7871 -> 211.235.46.211:3870 (UDP)
66.154.83.80:7871 -> 213.29.147.201:11274 (UDP)
201.245.233.201:29642 -> 66.154.83.107:7871 (UDP)
71.251.206.193:7128 -> 66.154.87.41:7871 (UDP)
85.182.54.16:7965 -> 66.154.83.80:7871 (UDP)
10.0.2.15:3993 -> 74.125.39.104:80 (TCP)
66.154.83.80:7871 -> 85.141.130.49:26944 (UDP)
66.154.80.101:7871 -> 217.126.14.164:7629 (UDP)
68.158.3.82:18834 -> 66.154.83.107:7871 (UDP)
82.38.209.245:18169 -> 66.154.83.113:7871 (UDP)
88.234.188.181:9501 -> 66.154.83.80:7871 (UDP)
66.154.87.57:7871 -> 141.157.166.133:22252 (UDP)
66.154.83.107:7871 -> 71.64.206.220:10099 (UDP)
83.167.116.122:7560 -> 66.154.83.138:7871 (UDP)
67.150.10.119:18169 -> 66.154.83.107:7871 (UDP)
68.224.97.10:12272 -> 66.154.87.39:7871 (UDP)
66.154.80.111:7871 -> 216.77.238.43:60338 (UDP)
24.255.38.200:5607 -> 66.154.80.111:7871 (UDP)
66.154.83.80:137 -> 74.69.197.251:137 (UDP)
66.154.83.138:7871 -> 24.47.224.191:1554 (UDP)
66.154.83.143:63196 -> 69.113.158.42:8 (TCP)
66.154.80.101:7871 -> 64.85.239.250:16938 (UDP)
162.83.74.107:50692 -> 66.154.80.105:7871 (UDP)
24.206.173.205:29612 -> 66.154.80.111:7871 (UDP)
76.66.21.124:61480 -> 66.154.83.138:7871 (UDP)
201.240.179.72:25781 -> 66.154.80.101:7871 (UDP)
66.154.80.125:7871 -> 74.122.131.199:21666 (UDP)
24.206.248.179:8 -> 69.61.28.78:63173 (TCP)
72.135.3.105:22145 -> 66.154.83.107:7871 (UDP)
24.138.76.97:62982 -> 66.154.80.105:7871 (UDP)
66.154.83.113:7871 -> 190.42.247.174:26958 (UDP)
66.154.87.61:7871 -> 124.197.3.17:20142 (UDP)
85.154.7.75:3778 -> 66.154.83.107:7871 (UDP)
66.154.87.41:7871 -> 81.74.151.116:27881 (UDP)
82.248.36.64:3798 -> 66.154.87.39:7871 (UDP)
82.198.126.121:10482 -> 66.154.80.111:7871 (UDP)
87.221.47.115:8289 -> 66.154.87.57:7871 (UDP)
69.165.59.82:8 -> 69.61.28.70:63178 (TCP)
66.154.83.107:7871 -> 80.55.31.219:4661 (UDP)
68.2.56.139:29046 -> 66.154.87.39:7871 (UDP)
67.185.130.125:19400 -> 66.154.80.111:7871 (UDP)
75.17.28.224:20142 -> 66.154.83.107:7871 (UDP)
173.213.112.209:80 -> 10.0.2.15:2006 (TCP)
66.154.80.125:7871 -> 87.179.38.191:10625 (UDP)
81.19.151.100:6186 -> 66.154.80.125:7871 (UDP)
83.167.112.55:62646 -> 66.154.87.41:7871 (UDP)
222.117.17.186:4683 -> 66.154.87.41:7871 (UDP)
218.254.89.134:22025 -> 66.154.80.111:7871 (UDP)
83.171.152.123:6766 -> 66.154.87.41:7871 (UDP)
66.154.83.107:7871 -> 64.126.122.162:29648 (UDP)
66.154.87.58:7871 -> 74.167.21.50:14751 (UDP)
66.154.87.39:7871 -> 87.98.150.71:11110 (UDP)
65.189.204.247:8 -> 69.61.28.69:63189 (TCP)
66.154.83.138:7871 -> 154.37.66.210:7871 (UDP)
189.142.127.88:4661 -> 66.154.80.125:7871 (UDP)
122.144.119.218:26919 -> 66.154.80.125:7871 (UDP)
201.250.119.165:16275 -> 66.154.80.105:7871 (UDP)
67.177.114.151:8 -> 66.154.83.133:63647 (TCP)
207.229.171.103:2918 -> 66.154.80.111:7871 (UDP)
24.189.26.108:16275 -> 69.61.28.100:7871 (UDP)
66.154.80.125:7871 -> 74.142.39.204:7704 (UDP)
202.86.155.183:3304 -> 66.154.83.107:7871 (UDP)
24.117.94.37:4989 -> 66.154.83.138:7871 (UDP)
66.154.87.39:7871 -> 24.233.102.213:18594 (UDP)
70.176.110.168:9261 -> 66.154.87.41:7871 (UDP)
10.0.2.15:15931 -> 79.33.100.68:15714 (UDP)
66.154.83.80:7871 -> 121.246.166.107:63249 (UDP)
84.190.144.152:64894 -> 66.154.87.39:7871 (UDP)
24.165.115.55:8 -> 69.61.28.83:63256 (TCP)
66.154.87.58:7871 -> 222.127.245.50:60854 (UDP)
84.153.3.44:9823 -> 66.154.80.105:7871 (UDP)
66.154.80.101:7871 -> 41.246.130.80:1168 (UDP)
66.154.87.41:7871 -> 212.108.40.245:14674 (UDP)
66.154.80.105:7871 -> 62.57.177.221:15906 (UDP)
84.77.245.108:15613 -> 66.154.80.125:7871 (UDP)
66.154.87.41:7871 -> 72.209.11.60:31184 (UDP)
172.27.16.1:53 -> 172.27.22.206:57620 (UDP)
87.240.15.2:16951 -> 66.154.87.57:7871 (UDP)
70.150.193.2:7547 -> 66.154.83.107:7871 (UDP)
66.154.83.80:7871 -> 189.176.20.25:29020 (UDP)
90.9.204.76:12254 -> 66.154.83.138:7871 (UDP)
65.27.146.151:32344 -> 66.154.83.80:7871 (UDP)
24.217.137.235:8 -> 69.61.28.87:63207 (TCP)
213.168.231.81:2753 -> 66.154.80.111:7871 (UDP)
60.48.204.122:16831 -> 66.154.80.101:7871 (UDP)
81.38.50.31:13364 -> 66.154.87.41:7871 (UDP)
66.154.83.107:7871 -> 193.203.36.203:14100 (UDP)
66.154.87.39:7871 -> 84.74.18.161:21772 (UDP)
193.27.240.19:6156 -> 66.154.83.113:7871 (UDP)
84.41.191.138:10387 -> 66.154.80.101:7871 (UDP)
219.252.232.187:17693 -> 66.154.83.113:7871 (UDP)
66.154.87.61:7871 -> 165.155.194.254:40462 (UDP)
66.154.80.111:7871 -> 87.0.103.163:16948 (UDP)
75.69.47.56:16535 -> 66.154.87.41:7871 (UDP)
66.154.83.141:63827 -> 65.30.81.171:8 (TCP)
81.48.86.2:10237 -> 66.154.87.61:7871 (UDP)
69.61.28.100:7871 -> 65.95.146.78:60758 (UDP)
4.246.212.53:28475 -> 66.154.87.39:7871 (UDP)
123.195.46.78:18403 -> 66.154.87.41:7871 (UDP)
62.178.160.173:19154 -> 69.61.28.100:7871 (UDP)
66.154.87.58:7871 -> 220.181.56.105:1822 (UDP)
69.61.28.69:63362 -> 24.217.137.235:8 (TCP)
216.85.233.146:29140 -> 66.154.80.101:7871 (UDP)
72.205.56.244:4702 -> 66.154.87.61:7871 (UDP)
66.154.80.111:7871 -> 217.94.203.157:62678 (UDP)
216.31.252.210:64189 -> 66.154.80.111:7871 (UDP)
88.77.90.170:8126 -> 66.154.80.101:7871 (UDP)
68.198.90.198:18611 -> 66.154.80.125:7871 (UDP)
66.154.83.107:7871 -> 190.65.8.216:16711 (UDP)
66.154.87.39:7871 -> 124.176.28.128:60722 (UDP)
66.177.32.201:21540 -> 66.154.83.80:7871 (UDP)
66.154.87.57:7871 -> 77.206.19.168:16275 (UDP)
66.154.87.61:7871 -> 59.126.49.140:19794 (UDP)
66.154.83.113:7871 -> 88.217.1.108:24594 (UDP)
66.154.87.61:7871 -> 70.123.155.54:29202 (UDP)
24.129.52.135:2146 -> 66.154.83.113:7871 (UDP)
75.89.228.32:60031 -> 66.154.80.111:7871 (UDP)
201.230.247.47:14888 -> 66.154.87.57:7871 (UDP)
85.136.150.81:6851 -> 66.154.83.80:7871 (UDP)
81.94.69.70:27935 -> 66.154.83.138:7871 (UDP)
77.198.28.29:26425 -> 66.154.80.101:7871 (UDP)
74.115.157.119:2130 -> 66.154.80.105:7871 (UDP)
66.154.83.113:7871 -> 86.63.207.96:6469 (UDP)
81.222.208.219:3711 -> 66.154.80.105:7871 (UDP)
83.197.123.55:16522 -> 66.154.80.111:7871 (UDP)
66.154.80.111:7871 -> 200.121.158.93:14258 (UDP)
89.108.41.122:5860 -> 66.154.80.111:7871 (UDP)
72.218.84.242:19430 -> 66.154.83.107:7871 (UDP)
69.61.28.100:7871 -> 82.235.93.207:7610 (UDP)
61.1.40.198:24971 -> 66.154.87.57:7871 (UDP)
91.5.167.212:7347 -> 66.154.83.80:7871 (UDP)
66.154.80.101:7871 -> 68.225.67.36:13374 (UDP)
66.154.87.61:7871 -> 85.177.198.178:4673 (UDP)
66.154.83.107:7871 -> 76.2.113.55:32003 (UDP)
84.61.23.87:1592 -> 66.154.83.113:7871 (UDP)
66.154.83.113:7871 -> 190.2.194.220:29603 (UDP)
66.154.80.105:7871 -> 190.42.244.238:17563 (UDP)
66.72.205.213:20837 -> 66.154.83.107:7871 (UDP)
66.154.80.105:7871 -> 64.80.152.148:57269 (UDP)
76.117.118.19:4000 -> 66.154.80.111:7871 (UDP)
68.12.57.214:22810 -> 66.154.87.41:7871 (UDP)
83.167.112.2:45203 -> 66.154.87.39:7871 (UDP)
190.9.12.187:25246 -> 66.154.83.138:7871 (UDP)
76.214.47.93:18611 -> 66.154.83.80:7871 (UDP)
218.186.116.18:26395 -> 66.154.87.61:7871 (UDP)
80.109.27.198:1037 -> 66.154.83.113:7871 (UDP)
76.175.12.84:16595 -> 66.154.87.39:7871 (UDP)
88.8.88.219:14934 -> 66.154.80.105:7871 (UDP)
66.154.87.61:7871 -> 86.99.9.72:23813 (UDP)
66.154.83.138:7871 -> 122.163.161.91:7871 (UDP)
128.211.221.47:8 -> 66.154.83.149:63426 (TCP)
24.206.248.179:8 -> 66.154.83.140:63135 (TCP)
64.150.215.198:5191 -> 66.154.87.61:7871 (UDP)
200.125.39.2:7310 -> 66.154.83.107:7871 (UDP)
69.4.150.221:62890 -> 66.154.80.111:7871 (UDP)
66.154.83.80:7871 -> 217.219.1.161:11271 (UDP)
66.154.83.107:7871 -> 200.118.149.105:3797 (UDP)
89.131.84.70:3140 -> 66.154.83.113:7871 (UDP)
201.240.217.131:16867 -> 66.154.87.61:7871 (UDP)
59.176.39.198:22252 -> 66.154.87.57:7871 (UDP)
89.251.39.70:5683 -> 66.154.83.113:7871 (UDP)
91.77.26.95:11685 -> 66.154.87.39:7871 (UDP)
66.154.83.113:7871 -> 85.139.171.216:8751 (UDP)
87.105.12.71:53493 -> 66.154.87.61:7871 (UDP)
189.158.66.141:32850 -> 66.154.83.80:7871 (UDP)
66.154.80.111:7871 -> 217.20.49.171:13061 (UDP)
59.180.189.211:50206 -> 66.154.80.111:7871 (UDP)
201.206.182.93:15114 -> 66.154.83.80:7871 (UDP)
66.154.83.107:7871 -> 77.41.47.214:15244 (UDP)
41.234.252.79:60193 -> 66.154.87.39:7871 (UDP)
66.154.83.80:7871 -> 76.103.124.165:4701 (UDP)
66.154.83.80:7871 -> 83.15.148.26:4677 (UDP)
66.154.80.111:7871 -> 195.70.58.101:29996 (UDP)
67.149.59.200:8 -> 66.154.83.142:63932 (TCP)
10.0.2.15:2003 -> 173.213.76.19:80 (TCP)
66.154.83.107:7871 -> 72.88.110.217:50553 (UDP)
66.154.83.138:7871 -> 88.122.98.11:5118 (UDP)
66.154.80.111:7871 -> 80.37.4.176:20575 (UDP)
85.141.123.227:12664 -> 66.154.83.113:7871 (UDP)
124.210.2.175:18169 -> 66.154.80.105:7871 (UDP)
66.154.87.39:7871 -> 64.92.226.17:5551 (UDP)
12.219.220.83:22964 -> 66.154.83.113:7871 (UDP)
75.165.195.105:5302 -> 66.154.87.39:7871 (UDP)
24.58.101.166:8 -> 66.154.83.135:63041 (TCP)
66.154.87.41:7871 -> 84.253.152.106:57809 (UDP)
212.235.139.239:21776 -> 66.154.83.107:7871 (UDP)
66.154.87.57:7871 -> 206.71.152.58:16296 (UDP)
72.14.183.202:80 -> 10.0.2.15:3559 (TCP)
66.154.83.107:7871 -> 210.14.32.20:57122 (UDP)
24.94.188.164:4093 -> 66.154.80.125:7871 (UDP)
210.245.101.46:12990 -> 66.154.83.80:7871 (UDP)
66.154.87.39:7871 -> 83.14.146.90:16530 (UDP)
66.154.83.152:63759 -> 67.149.59.200:8 (TCP)
66.154.80.105:7871 -> 85.195.176.94:18823 (UDP)
89.111.143.68:54492 -> 66.154.83.80:7871 (UDP)
83.4.145.54:3643 -> 66.154.87.57:7871 (UDP)
66.154.87.39:7871 -> 85.101.93.128:9896 (UDP)
83.134.141.239:3763 -> 66.154.83.113:7871 (UDP)
66.154.80.105:7871 -> 88.241.14.134:19782 (UDP)
66.154.83.113:7871 -> 69.223.40.49:33043 (UDP)
66.154.87.41:7871 -> 195.230.85.7:2283 (UDP)
66.154.87.39:7871 -> 201.243.64.9:11333 (UDP)
59.165.194.45:57868 -> 66.154.87.57:7871 (UDP)
124.120.15.148:11275 -> 66.154.87.41:7871 (UDP)
79.1.131.125:11986 -> 66.154.83.80:7871 (UDP)
209.88.189.45:7829 -> 66.154.87.41:7871 (UDP)
66.154.83.80:7871 -> 83.152.16.45:37895 (UDP)
75.28.3.215:29286 -> 66.154.80.111:7871 (UDP)
86.210.187.171:14747 -> 66.154.87.41:7871 (UDP)
201.239.164.6:22398 -> 66.154.83.138:7871 (UDP)
10.0.2.15:1229 -> 74.125.79.99:80 (TCP)
66.154.87.57:7871 -> 201.255.53.184:29818 (UDP)
66.154.80.105:7871 -> 217.54.4.72:7871 (UDP)
77.37.6.193:12021 -> 66.154.80.105:7871 (UDP)
213.10.76.235:17426 -> 66.154.87.41:7871 (UDP)
62.10.204.96:4253 -> 66.154.80.105:7871 (UDP)
66.154.83.138:7871 -> 41.251.19.103:19752 (UDP)
79.80.68.129:5449 -> 66.154.80.111:7871 (UDP)
66.154.87.41:7871 -> 24.185.161.37:11916 (UDP)
24.2.226.69:33464 -> 66.154.83.80:7871 (UDP)
59.182.11.159:50924 -> 66.154.80.101:7871 (UDP)
89.84.247.164:19686 -> 66.154.87.39:7871 (UDP)
88.227.111.214:16275 -> 66.154.83.138:7871 (UDP)
66.154.83.113:7871 -> 69.21.39.114:33043 (UDP)
66.154.80.105:7871 -> 207.193.224.14:55065 (UDP)
24.185.147.149:13867 -> 66.154.87.57:7871 (UDP)
66.154.87.61:7871 -> 85.140.103.244:25014 (UDP)
66.154.87.41:7871 -> 60.41.139.8:3664 (UDP)
66.154.87.39:7871 -> 85.141.130.49:26944 (UDP)
66.154.87.41:7871 -> 88.3.154.246:13400 (UDP)
82.143.133.46:1155 -> 66.154.83.138:7871 (UDP)
82.231.135.194:24101 -> 66.154.83.107:7871 (UDP)
24.217.137.235:8 -> 69.61.28.67:63194 (TCP)
121.139.143.28:3822 -> 66.154.87.61:7871 (UDP)
82.201.241.20:61777 -> 66.154.83.107:7871 (UDP)
66.154.87.39:7871 -> 69.221.227.33:55122 (UDP)
66.154.87.61:7871 -> 212.25.103.110:1403 (UDP)
67.177.114.151:8 -> 69.61.28.75:63166 (TCP)
84.245.4.235:28767 -> 66.154.87.41:7871 (UDP)
76.2.65.145:26046 -> 66.154.83.107:7871 (UDP)
124.180.84.205:61423 -> 66.154.83.80:7871 (UDP)
66.154.87.41:7871 -> 69.113.128.31:2463 (UDP)
66.154.87.61:7871 -> 124.104.153.244:20138 (UDP)
66.154.83.107:7871 -> 81.252.102.233:45013 (UDP)
71.204.201.111:48826 -> 66.154.80.101:7871 (UDP)
66.154.83.80:7871 -> 80.171.54.220:20657 (UDP)
66.154.87.61:7871 -> 83.20.79.71:10792 (UDP)
66.154.87.58:7871 -> 124.187.137.229:60009 (UDP)
121.247.200.73:30843 -> 66.154.87.39:7871 (UDP)
87.194.221.240:56603 -> 66.154.80.111:7871 (UDP)
68.110.80.140:8 -> 66.154.83.140:63022 (TCP)
